Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b73729-d719-4aba-a41b-e4b834cf5cf8
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation20

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	5	1	7	418	80	10	-1	6301.817	0	37	0	5					
4	5	2	7	432	60	10	-0.5	6301.817	0	37	0	5					
4	5	3	7	455	48	10	0	6301.817	0	37	0	5					
4	5	4	7	468	49	10	0.50000000000000011	6301.817	0	37	0	5					
4	5	5	7	452	48	10	1	6301.817	0	37	0	5					
4	5	6	7	453	81	10	1.4999999999999998	6301.817	0	37	0	5					
4	5	7	7	438	76	10	2.0000000000000004	6301.817	0	37	0	5					
4	5	8	7	424	106	10	2.5	6301.817	0	37	0	5					
4	6	1	7	474	92	10	-1	6299.6939999999995	0	37	0	5					
4	6	2	7	510	73	10	-0.5	6299.6939999999995	0	37	0	5					
4	6	3	7	516	55	10	0	6299.6939999999995	0	37	0	5					
4	6	4	7	543	53	10	0.50000000000000011	6299.6939999999995	0	37	0	5					
4	6	5	7	540	52	10	1	6299.6939999999995	0	37	0	5					
4	6	6	7	538	57	10	1.4999999999999998	6299.6939999999995	0	37	0	5					
4	6	7	7	544	72	10	2.0000000000000004	6299.6939999999995	0	37	0	5					
4	6	8	7	528	81	10	2.5	6299.6939999999995	0	37	0	5					
4	7	1	7	365	87	10	-1	6301.647	0	37	0	5					
4	7	2	7	397	70	10	-0.5	6301.647	0	37	0	5					
4	7	3	7	398	56	10	0	6301.647	0	37	0	5					
4	7	4	7	388	40	10	0.50000000000000011	6301.647	0	37	0	5					
4	7	5	7	405	39	10	1	6301.647	0	37	0	5					
4	7	6	7	388	37	10	1.4999999999999998	6301.647	0	37	0	5					
4	7	7	7	375	42	10	2.0000000000000004	6301.647	0	37	0	5					
4	7	8	7	375	67	10	2.5	6301.647	0	37	0	5					
4	8	1	7	109	19	10	-1	6300.053	0	37	0	5					
4	8	2	7	113	15	10	-0.5	6300.053	0	37	0	5					
4	8	3	7	109	9	10	0	6300.053	0	37	0	5					
4	8	4	7	116	10	10	0.50000000000000011	6300.053	0	37	0	5					
4	8	5	7	117	8	10	1	6300.053	0	37	0	5					
4	8	6	7	114	8	10	1.4999999999999998	6300.053	0	37	0	5					
4	8	7	7	111	7	10	2.0000000000000004	6300.053	0	37	0	5					
4	8	8	7	120	16	10	2.5	6300.053	0	37	0	5					
4	5	1	8	424	92	10	-1	7201.2239999999993	0	37	0	5					
4	5	2	8	432	73	10	-0.5	7201.2239999999993	0	37	0	5					
4	5	3	8	453	47	10	0	7201.2239999999993	0	37	0	5					
4	5	4	8	479	49	10	0.50000000000000011	7201.2239999999993	0	37	0	5					
4	5	5	8	440	43	10	1	7201.2239999999993	0	37	0	5					
4	5	6	8	440	51	10	1.4999999999999998	7201.2239999999993	0	37	0	5					
4	5	7	8	437	76	10	2.0000000000000004	7201.2239999999993	0	37	0	5					
4	5	8	8	410	73	10	2.5	7201.2239999999993	0	37	0	5					
