,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,trc
1998,4,6,7,52,7,3,1110,1985,"[1105,1979,1118,1990]",-1287.03,-1748.45,0.13915,99.4936,990,0.233248,615.516,103,487.114,1.46785,31,18,1
2140,4,6,2,56,8,1,59,50,"[55,46,64,57]",-473.72,-1462.5,0.155809,101.874,866,0.221466,551.968,95,318.949,2.04999,1,1,1
1713,4,6,2,30,7,1,53,1614,"[46,1609,58,1622]",-1443.5,-1693.85,0.151425531249,79.3196721311,684,0.212228622065,444.5,122,428.180335731,1.22336228084,10,10,1
2043,4,6,8,46,7,3,1080,2002,"[1072,1996,1088,2010]",-1291.58,-1751.02,0.154859,99.7892,831,0.2082,544.6,167,453.877,1.41975,14,10,1
2106,4,6,1,57,8,2,48,50,"[43,46,53,58]",-475.39,-1462.61,0.14217,80.2754,726,0.199636,484.367,95,291.306,1.93831,1,2,1
1445,4,6,2,58,5,1,556,126,"[549,118,562,132]",-400.31,-827.64,0.117450039873,76.4945736434,858,0.197654941374,574.8,129,437.052330903,1.49019814698,10,18,1
2051,4,6,8,52,7,3,1116,1983,"[1111,1978,1120,1989]",-1286.28,-1748.1,0.0941222,82.6986,1184,0.196001,795.931,81,490.517,1.79123,38,30,1
1877,4,6,5,50,7,1,1101,1987,"[1095,1980,1107,1995]",-1288.43,-1748.75,0.15090816259,89.4145658263,747,0.19510894408,503.095238095,153,470.860256702,1.25835594635,23,24,1
2139,4,6,2,55,8,1,66,45,"[61,40,72,53]",-472.62,-1461.79,0.140794873592,91.8243727599,832,0.195092269327,560.361111111,124,319.598835799,2.04063785852,3,2,1
1414,4,6,1,50,5,1,558,43,"[554,39,562,50]",-400.01,-815.73,0.125093,83.2874,854,0.188987,582.517,87,484.857,1.3732,6,4,1
2172,4,6,3,55,8,1,67,43,"[60,37,73,52]",-472.69,-1461.51,0.114076571766,66.2252024291,738,0.178624078624,514.307692308,152,315.076433121,1.84251449398,3,2,1
1467,4,6,3,58,5,1,556,122,"[549,117,561,134]",-400.43,-827.69,0.104088,66.4527,809,0.171635,571.977,163,450.483,1.41721,9,9,1
1769,4,6,3,29,7,1,40,1601,"[34,1594,46,1607]",-1445.37,-1691.62,0.118620408969,67.8269585253,695,0.159327042227,503.971428571,124,439.352174873,1.30145796424,4,6,1
1413,4,6,1,49,5,1,548,28,"[543,23,555,36]",-401.39,-813.46,0.10240018799,71.2397275324,842,0.148344053521,624.459459459,123,567.407495538,1.22610150987,5,8,1
1419,4,6,1,52,5,4,568,55,"[564,51,573,62]",-398.5,-817.46,0.0957476,64.8287,818,0.143856,612.25,89,496.938,1.3625,11,21,1
1014,4,6,7,51,1,1,1736,1372,"[1731,1366,1741,1378]",-225.85,-366.12,0.0837969134572,78.991005291,1142,0.138778882589,863.657142857,108,655.550866183,1.43794813915,2,3,1
997,4,6,6,52,1,1,1743,1364,"[1737,1359,1747,1373]",-224.86,-365.23,0.0851800044173,82.419859687,1133,0.122795767874,885.176470588,109,668.731023459,1.44691407507,6,8,1
945,4,6,4,25,1,2,1300,46,"[1297,41,1303,50]",-290.29,-170.05,0.0464131,23.6591,619,0.12027,486.091,48,441.877,1.1536,2,3,1
1856,4,6,5,29,7,1,41,1599,"[37,1595,45,1606]",-1445.17,-1691.59,0.0655525419885,34.3818466354,619,0.116209176518,490.111111111,71,395.393473634,1.3265088898,7,2,1
1383,4,6,7,58,4,1,1760,1050,"[1754,1045,1764,1055]",746.32,-964.35,0.0731632,29.9628,478,0.114776,379.571,73,392.261,1.04403,2,2,1
1249,4,6,5,58,3,2,635,1636,"[630,1630,641,1643]",580.13,-405.23,0.0517651,41.4428,954,0.113737,759.152,106,622.545,1.286,10,14,1
2135,4,6,2,52,8,1,363,524,"[359,517,368,530]",-428.78,-1532.46,0.0576440889494,42.8153089888,878,0.112845090506,699.9375,89,614.668443497,1.2083796018,9,11,1
2133,4,6,2,51,8,1,364,525,"[362,521,371,531]",-428.36,-1532.75,0.041314,35.0109,1019,0.112796,812.423,53,647.754,1.30826,8,15,1
