,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
1140,4,5,8,14,3,3,1393,460,"[1390,456,1401,465]",-276.31,737.34,0.0412177,55.0267,1496,0.0778098,1280.0,75,853.97,1.56332,1,7,1,275,14,81
1141,4,5,8,14,3,4,1411,463,"[1404,455,1417,472]",-273.99,736.85,0.101284,163.302,2034,0.167951,1449.02,154,853.97,1.88803,1,8,1,275,14,81
1143,4,5,8,14,3,6,1406,476,"[1403,473,1413,481]",-274.43,734.8,0.0346012,55.9678,1809,0.073418,1561.54,53,853.97,1.89411,1,12,1,275,14,81
1165,4,5,6,21,4,1,1538,426,"[1535,423,1542,430]",67.75,742.33,0.0482247459653,60.0297619048,1366,0.0710525333234,1184.76190476,48,989.470305504,1.25803842697,1,5,1,10,2,7
1173,4,5,1,2,4,1,1892,560,"[1882,553,1902,569]",120.01,722.29,0.118312321003,130.639053787,1438,0.192594459667,973.549019608,218,921.630731686,1.19808078814,2,22,1,247,7,59
1197,4,5,9,52,10,1,1414,1718,"[1402,1715,1417,1723]",-273.99,-94.56,0.0476804245394,76.5075757576,1803,0.0825307082281,1528.08333333,88,541.929230165,2.9608864401,8,42,1,0,69,0
1203,4,5,4,5,2,2,1518,738,"[1513,732,1524,744]",-580.93,696.21,0.0655163,71.5609,1272,0.109609,1020.7,92,778.86,1.40238,5,52,1,0,69,0
1209,4,5,4,7,4,1,1820,518,"[1817,515,1825,525]",109.48,728.59,0.0801345,107.697,1644,0.141564,1236.26,69,1284.33,1.04642,2,36,1,259,8,75
1221,4,5,9,44,3,1,1373,470,"[1368,466,1378,477]",-279.58,735.76,0.0595858,60.0555,1189,0.112865,947.828,77,661.486,1.52367,2,6,1,218,15,70
1245,4,5,9,60,3,2,1373,554,"[1367,549,1376,558]",-279.64,723.39,0.042386,52.9154,1399,0.0784352,1195.5,65,642.306,1.94365,2,9,1,0,69,0
1250,4,5,6,60,11,2,1740,1600,"[1735,1596,1747,1606]",-548.17,-399.94,0.0989308,72.8059,931,0.168042,663.121,96,594.327,1.23825,12,27,1,207,3,27
1264,4,5,7,44,3,1,1374,474,"[1369,469,1380,479]",-279.35,735.34,0.0969531,78.3061,925,0.118255,729.364,109,527.344,1.53158,2,6,1,218,15,70
1265,4,5,7,44,3,2,1391,474,"[1385,469,1404,485]",-276.51,734.98,0.0840671,84.4347,1260,0.155996,919.939,166,527.344,1.90459,2,7,1,121,1,70
1275,4,5,4,0,3,1,344,1465,"[332,1461,349,1471]",-431.99,588.67,0.0867705,114.189,1624,0.149411,1201.79,121,1171.18,1.12364,4,84,1,0,69,0
1312,4,5,7,42,3,1,1360,503,"[1356,497,1364,509]",-281.46,730.91,0.0629947,59.6468,1121,0.116419,887.207,82,584.561,1.61977,2,9,1,131,2,29
1319,4,5,3,5,4,2,1884,527,"[1879,523,1890,532]",118.84,727.42,0.0802444,132.565,2105,0.161556,1519.45,77,1385.26,1.19257,1,34,1,0,69,0
1331,4,5,6,3,3,1,336,74,"[331,69,341,82]",-432.71,794.19,0.0519594,75.4904,1663,0.0939414,1377.38,110,1131.19,1.28437,1,11,1,0,69,0
1338,4,5,9,58,3,1,1408,521,"[1400,512,1414,529]",-274.5,728.18,0.0680068154394,104.452121212,1917,0.145005837157,1431.45454545,150,633.424836171,2.42476546381,2,6,1,242,14,54
1339,4,5,8,57,5,1,47,2046,"[38,2039,52,2055]",170.17,502.71,0.0539291683581,62.7048795746,1389,0.116101139788,1100.02173913,139,912.674035415,1.27397797416,6,8,1,130,1,5
1343,4,5,6,7,4,3,1820,518,"[1817,514,1824,523]",109.5,728.62,0.0749329,199.034,3213,0.133308,2457.13,63,2602.07,1.02079,2,31,1,259,8,75
1355,4,5,6,6,4,4,1860,524,"[1855,519,1864,528]",115.25,727.93,0.118358,590.125,6324,0.179873,4395.8,67,3313.37,1.50479,1,31,1,186,1,53
