Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	7	5	0	360	205	248	83	1	0.0306084018233	24.4957746479	874	0.0595223663474	775.8	71	784.461245647	1.02018522787	30	2	0.0728063644881	457.140787269	8185.5	0.156396659394	6061.83791209	76	5960.94642857	1.08546206754	10	1	0	-1	37	0	5					
4	7	6	0	358	195	241	46	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1.4999999999999998	0	-1	37	0	5					
4	7	7	0	355	186	237	41	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	2.0000000000000004	0	-1	37	0	5					
4	7	8	0	346	176	234	48	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	2.5	0	-1	37	0	5					
4	8	1	0	100	66	73	322	6	0.0345682297639	41.7982285008	1343	0.081026906887	1140.90284399	71.3333333333	1075.29207044	1.11823941236	17	6	0.10308526178	1296.17009536	11303.6666667	0.175250342246	6722.43243793	75.5	6820.75925926	1.07409520917	10	-1	0	-1	37	0	5					
4	8	2	0	105	70	77	242	1	0.0362178963513	52.1584440228	1589	0.0675281820248	1387.97058824	93	1406.77360479	1.02371058666	13	1	0.149110783599	3748.67678571	34608	0.236010247534	21391.5357143	80	18741.5	1.34141944348	10	-0.5	0	-1	37	0	5					
4	8	3	0	111	74	80	219	2	0.0285997741799	21.5673076923	851	0.0751371848468	732.009615385	52.5	755.617874352	0.997298963743	15	1	0.0647468843976	151.753018109	2737	0.110562048503	2192.03571429	71	2594	0.903542302388	10	0	0	-1	37	0	5					
4	8	4	0	116	76	83	133	5	0.0304910257546	34.8409377244	1274.2	0.0690759545982	1112.61945229	55.2	1014.48504651	1.12788251345	12	4	0.105007982283	1531.65096306	17672	0.198198437664	11574.0552249	76.25	10563.6666667	1.16097853868	10	0.50000000000000011	0	-1	37	0	5					
4	8	5	0	114	76	82	63	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1	0	-1	37	0	5					
4	8	6	0	111	76	84	45	1	0.185292816091	1884.49942317	14030	0.257400201039	8285.88636364	197	5230.65935472	1.94437930232	11	1	0.0628905909527	458.123015873	8495	0.108912183535	6826.32142857	81	7208.22222222	1.01057434411	10	1.4999999999999998	0	-1	37	0	5					
