Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	8fd0304e-39d0-4a3d-ab98-c9ca25b4879e
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation4

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
3	8	9	5	189	32	11	2	4501.793	0	37	0	5					
3	9	1	5	213	23	11	-2	4499.717	0	37	0	5					
3	9	2	5	216	17	11	-1.5	4499.717	0	37	0	5					
3	9	3	5	229	29	11	-1	4499.717	0	37	0	5					
3	9	4	5	222	29	11	-0.49999999999999989	4499.717	0	37	0	5					
3	9	5	5	227	41	11	0	4499.717	0	37	0	5					
3	9	6	5	219	36	11	0.49999999999999989	4499.717	0	37	0	5					
3	9	7	5														
3	9	8	5														
3	9	9	5														
3	4	1	6	233	44	11	-2	5402.227	0	37	0	5					
3	4	2	6	242	34	11	-1.5	5402.227	0	37	0	5					
3	4	3	6	244	36	11	-1	5402.227	0	37	0	5					
3	4	4	6	251	39	11	-0.49999999999999989	5402.227	0	37	0	5					
3	4	5	6	266	56	11	0	5402.227	0	37	0	5					
3	4	6	6	284	61	11	0.49999999999999989	5402.227	0	37	0	5					
3	4	7	6	270	55	11	1.0000000000000002	5402.227	0	37	0	5					
3	4	8	6	265	49	11	1.5	5402.227	0	37	0	5					
3	4	9	6	271	42	11	2	5402.227	0	37	0	5					
3	6	1	6	236	36	11	-2	5402.04	0	37	0	5					
3	6	2	6	238	34	11	-1.5	5402.04	0	37	0	5					
3	6	3	6	261	41	11	-1	5402.04	0	37	0	5					
3	6	4	6	272	45	11	-0.49999999999999989	5402.04	0	37	0	5					
3	6	5	6	314	58	11	0	5402.04	0	37	0	5					
3	6	6	6	321	61	11	0.49999999999999989	5402.04	0	37	0	5					
3	6	7	6	320	69	11	1.0000000000000002	5402.04	0	37	0	5					
3	6	8	6	319	68	11	1.5	5402.04	0	37	0	5					
3	6	9	6	305	65	11	2	5402.04	0	37	0	5					
3	8	1	6	164	16	11	-2	5401.65	0	37	0	5					
3	8	2	6	181	19	11	-1.5	5401.65	0	37	0	5					
3	8	3	6	188	30	11	-1	5401.65	0	37	0	5					
3	8	4	6	195	32	11	-0.49999999999999989	5401.65	0	37	0	5					
3	8	5	6	200	40	11	0	5401.65	0	37	0	5					
3	8	6	6	200	37	11	0.49999999999999989	5401.65	0	37	0	5					
3	8	7	6	196	29	11	1.0000000000000002	5401.65	0	37	0	5					
3	8	8	6	199	38	11	1.5	5401.65	0	37	0	5					
3	8	9	6	188	29	11	2	5401.65	0	37	0	5					
3	9	1	6	206	19	11	-2	5399.777	0	37	0	5					
3	9	2	6	217	23	11	-1.5	5399.777	0	37	0	5					
3	9	3	6	212	20	11	-1	5399.777	0	37	0	5					
