,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Selected,coloc AR - Object No in Spots AR,Unnamed: 24
601,4,8,1,1,2,871,332,"[867,328,878,340]",-353.55,-212.75,,,,,0.0269012,78.9528,3177,0.0532128,2855.97,102,2805.42,1.04616,1,33,
602,4,8,54,1,1,2078,906,"[2072,900,2084,913]",-175.19,-297.31,,,,,0.0671547235348,55.6454831933,970,0.113042304382,772.970588235,112,792.001588613,1.04623031487,3,1,
603,4,8,9,1,1,980,319,"[974,315,986,325]",-337.61,-210.6,,,,,0.0277145998817,47.361856109,1889,0.0640599809646,1661.55172414,81,1716.4230138,0.99562495172,1,13,
604,4,8,54,4,1,1380,1222,"[1376,1219,1383,1225]",690.16,-989.82,,,,,0.0332179,52.5405,1770,0.0730037,1529.15,42,1176.4,1.34452,9,8,
605,4,8,54,4,2,1657,1306,"[1653,1299,1662,1313]",731.29,-1002.35,,,,,0.0298263,66.6146,2550,0.08124,2166.81,76,2410.25,0.926635,10,12,
606,4,8,54,4,3,1653,1314,"[1648,1310,1659,1320]",730.59,-1003.62,,,,,0.025658,53.4121,2332,0.0696558,2028.28,75,2410.25,0.863684,10,16,
607,4,8,55,1,1,2076,913,"[2072,909,2082,921]",-175.44,-298.57,,,,,0.0450582203201,36.8494318182,907,0.0746644450616,780.96875,99,784.455003508,1.04253039137,4,4,
608,4,8,2,1,1,870,257,"[866,252,876,262]",-353.8,-201.32,,,,,0.0292756,97.1085,3762,0.0776378,3219.94,87,2569.88,1.29074,1,16,
609,4,8,2,1,2,967,332,"[954,328,973,343]",-340.11,-212.78,,,,,0.0649401,153.098,2933,0.141816,2204.43,150,2569.88,0.917369,1,30,
610,4,8,16,5,1,910,125,"[906,122,914,134]",-347.9,-828.01,,,,,0.025680248198,170.049653158,7477,0.0736061647039,6451.75757576,83,7071.10812821,0.936459619745,1,14,
611,4,8,60,3,1,1117,1792,"[1109,1787,1125,1801]",651.42,-428.36,,,,,0.0519142,86.9128,2142,0.148756,1587.25,129,1722.32,0.972039,4,1,
612,4,8,60,3,2,1042,1864,"[1038,1858,1048,1869]",640.3,-438.93,,,,,0.0379529,58.9958,1959,0.134189,1495.45,76,1722.32,0.902531,4,8,
613,4,8,60,5,1,999,224,"[988,207,1010,236]",-334.74,-842.09,,,,,0.0558991,321.385,7035,0.128943,5427.99,261,6570.07,0.875085,1,35,
614,4,8,60,5,2,1546,903,"[1542,900,1552,909]",-253.79,-942.84,,,,,0.039058,33.0162,1030,0.11817,812.296,64,606.339,1.39412,5,41,
615,4,8,41,4,1,1169,2128,"[1162,2124,1174,2133]",658.99,-1123.72,,,,,0.026429591686,15.1154929577,627,0.0593005575266,556.8,71,605.005079402,0.945306927874,9,5,
616,4,8,58,3,1,1104,1783,"[1099,1776,1108,1789]",649.44,-426.76,,,,,0.0316044,51.2085,2068,0.137173,1569.09,91,1696.82,0.954905,4,2,
617,4,8,58,3,2,1146,1787,"[1142,1783,1155,1792]",656.02,-427.59,,,,,0.0688081,102.382,1939,0.166471,1385.56,102,1696.82,0.876902,4,3,
618,4,8,58,3,3,1095,1895,"[1088,1888,1099,1899]",648.03,-443.4,,,,,0.0300397,49.501,1896,0.0851794,1598.35,89,1696.82,0.971145,4,11,
