,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5667,4,8,6,53,1,1,2086,897,"[2080,894,2090,902]",-174.21,-296.03,0.0419761078444,33.0107744108,887,0.0814386669978,753.407407407,55,752.743956461,1.0447352982,4,5,1,0,47,0
5670,4,8,6,45,4,1,141,529,"[137,523,146,534]",507.27,-887.36,0.0332680379639,26.5358959864,914,0.084799869035,771.103448276,61,407.237619739,1.95865830071,2,3,1,0,47,0
5672,4,8,4,40,1,1,786,1635,"[782,1628,792,1640]",-366.23,-404.97,0.0477651344025,39.1585648148,956,0.100966296583,780.65625,81,689.901872399,1.18830640648,3,8,1,96,4,40
5673,4,8,6,63,5,1,915,132,"[909,126,924,140]",-347.11,-828.83,0.118117823113,759.67284932,7986,0.169440712076,5671.81081081,153,4389.47835269,1.46520455128,1,2,1,0,47,0
5677,4,8,4,43,4,1,138,537,"[134,534,144,542]",506.76,-888.55,0.0337104887792,29.6473214286,1011,0.086616893461,849.821428571,64,580.804066648,1.5142262262,2,2,1,120,3,36
5680,4,8,1,51,4,2,1408,1286,"[1403,1281,1414,1293]",694.44,-999.34,0.13082,120.98,1208,0.200915,803.8,109,671.849,1.37647,12,17,1,102,19,24
5681,4,8,3,50,4,1,1410,1287,"[1404,1280,1416,1295]",694.71,-999.46,0.0958129342275,142.231243001,1790,0.142953161101,1342.23684211,141,1081.10196412,1.37310645468,11,9,1,102,19,24
5686,4,8,7,51,1,2,2034,904,"[2030,898,2039,908]",-181.75,-296.88,0.0318259,32.0746,1086,0.0534787,975.741,65,767.4,1.31329,4,3,1,116,3,22
5690,4,8,3,1,4,2,1967,1927,"[1963,1923,1972,1932]",777.05,-1094.07,0.049595,44.4961,1004,0.0814931,852.692,69,773.421,1.16003,9,94,1,0,47,0
5697,4,8,2,61,5,1,1513,845,"[1510,842,1519,848]",-258.71,-934.09,0.0378664369867,25.6458333333,800,0.102213037114,651.625,48,559.586570284,1.21030573159,4,37,1,2,1,5
5701,4,8,3,53,4,1,1412,1287,"[1407,1282,1418,1293]",695.03,-999.39,0.137959052644,196.60874229,1830,0.196659103744,1228.51515152,113,955.034299517,1.49222273433,13,17,1,102,19,24
5702,4,8,3,43,3,1,898,437,"[892,431,904,444]",618.96,-227.93,0.0955077158967,101.630263158,1328,0.159584802279,962.475,152,906.023210015,1.17447903254,1,1,1,123,4,35
5703,4,8,5,58,5,1,1572,916,"[1566,913,1575,922]",-250.32,-944.88,0.0363582076348,28.3105625718,855,0.0651908287213,750.346153846,67,541.62349665,1.43763466916,6,28,1,124,5,44
5704,4,8,7,53,4,1,1376,1213,"[1370,1207,1384,1225]",689.68,-988.76,0.0983831414255,142.76267044,1752,0.144976025573,1308.32608696,169,1107.98712631,1.30966210974,9,4,1,114,6,14
5706,4,8,7,40,4,1,1885,1287,"[1881,1283,1891,1292]",765.04,-999.5,0.0355351,45.3157,1408,0.0675065,1229.92,67,1073.51,1.18792,7,2,1,0,47,0
5707,4,8,7,40,4,2,1836,1340,"[1832,1336,1840,1346]",757.7,-1007.35,0.0370567,49.4518,1490,0.0738584,1285.04,61,1073.51,1.24311,7,3,1,0,47,0
5708,4,8,5,40,1,1,788,1633,"[783,1627,794,1639]",-365.98,-404.74,0.0604964205545,50.8756377551,983,0.108796418689,790.09375,98,700.146722164,1.20113307844,5,3,1,96,4,40
5711,4,8,8,3,5,1,961,122,"[954,115,969,131]",-340.44,-827.4,0.151644611671,986.777012484,8600,0.218096554782,5520.39130435,202,3404.17767324,1.91152429204,1,8,1,0,47,0
5718,4,8,8,6,5,1,975,58,"[966,53,981,63]",-338.44,-817.84,0.0572058,310.448,6283,0.102338,5116.41,107,2672.7,2.03048,1,3,1,0,47,0
5723,4,8,5,51,4,1,1406,1287,"[1402,1281,1413,1292]",694.16,-999.42,0.0353740658619,52.2121212121,1632,0.0681369680983,1423.78787879,89,1154.49782303,1.27847794128,9,8,1,102,19,24
5724,4,8,7,31,5,1,967,153,"[957,146,976,161]",-339.7,-831.83,0.149462231842,500.661111111,4467,0.221144266518,2849.08888889,208,1962.78530107,1.70663087714,1,8,1,0,47,0
5736,4,8,5,60,5,1,1546,903,"[1542,900,1552,910]",-253.75,-942.83,0.0469924776494,38.8998435055,1030,0.132559560171,788.888888889,71,565.884552702,1.46282263483,4,5,1,69,1,43
5742,4,8,2,53,4,1,1412,1286,"[1407,1282,1417,1293]",695.0,-999.43,0.141348190227,165.089032258,1471,0.189229364976,1002.87096774,100,775.844608808,1.5054045446,13,14,1,102,19,24
5743,4,8,8,50,1,1,2037,894,"[2032,890,2042,906]",-181.43,-296.0,0.0369791399723,36.075,1108,0.0823086972979,939.475,100,757.992374798,1.28701822398,2,1,1,116,3,22
5748,4,8,7,40,1,1,790,1608,"[784,1603,798,1617]",-365.55,-401.16,0.0912766975406,86.1457390649,1121,0.133100936929,857.641025641,136,645.173468663,1.46284187206,3,1,1,66,1,41
5752,4,8,3,60,4,1,1953,1064,"[1949,1060,1958,1070]",774.91,-966.43,0.0432571049877,25.4739819005,646,0.0682779456193,563.423076923,68,565.179362983,1.04196490069,9,4,1,0,47,0
5760,4,8,7,4,5,1,981,113,"[973,106,987,126]",-337.51,-826.38,0.193783460501,1450.66210046,10827,0.28416391563,6035.33333333,219,4008.57326948,1.86749622136,1,9,1,0,47,0
5765,4,8,8,48,4,3,275,1726,"[270,1721,281,1731]",526.94,-1064.31,0.0448038,32.2036,840,0.100509,686.567,74,599.609,1.19873,12,7,1,0,47,0
5768,4,8,7,0,5,1,952,133,"[945,125,962,143]",-341.72,-828.99,0.161575655532,888.97538758,7456,0.235568451988,4612.93877551,233,3074.09780383,1.78976549029,1,11,1,40,1,2
5774,4,8,7,58,5,1,993,1523,"[988,1520,998,1529]",-335.6,-1034.45,0.0288736343512,28.1974741676,1091,0.0699305974653,948.384615385,67,767.401466884,1.2725830373,4,1,1,0,47,0
5777,4,8,8,53,5,2,955,182,"[950,177,964,190]",-341.18,-836.16,0.0829084,330.265,4834,0.139123,3653.23,131,2151.66,1.85136,1,4,1,0,47,0
5779,4,8,8,7,1,1,1691,1771,"[1686,1768,1696,1775]",-232.56,-425.31,0.027039915191,36.2175283733,1479,0.0631903451899,1303.19230769,61,1028.63848091,1.30211912244,4,2,1,0,47,0
5781,4,8,6,50,4,2,1358,1241,"[1351,1236,1363,1250]",686.95,-992.97,0.0733702,108.141,1730,0.117657,1365.76,123,1129.76,1.30462,9,7,1,112,9,23
5814,4,8,6,53,4,1,1374,1210,"[1370,1208,1380,1214]",689.51,-988.14,0.0483826,75.6494,1893,0.119815,1487.92,53,1138.39,1.37349,11,10,1,114,6,14
5815,4,8,6,53,4,2,1376,1217,"[1372,1213,1382,1223]",689.91,-989.13,0.0505099,81.3877,1889,0.105023,1529.93,81,1138.39,1.41544,11,11,1,114,6,14
5816,4,8,8,21,5,1,909,85,"[902,78,918,93]",-348.05,-821.78,0.105466801816,406.836932447,4798,0.163341716193,3450.65116279,168,1904.34733174,2.02562212835,1,3,1,0,47,0
5817,4,8,8,51,1,1,2034,906,"[2031,902,2040,909]",-181.67,-297.18,0.033959717608,35.6836363636,1171,0.0713240137598,1015.08,55,731.398595893,1.43664978613,4,4,1,116,3,22
5819,4,8,7,2,5,1,939,70,"[934,65,948,77]",-343.33,-819.62,0.110470414373,871.757575758,9318,0.140684124206,7019.56410256,143,4416.23882856,1.78688743627,1,3,1,0,47,0
5820,4,8,8,55,5,1,965,202,"[959,195,973,210]",-339.83,-839.15,0.0974803045166,479.146633562,5775,0.131114179115,4436.17073171,167,2250.71977731,2.18388686803,1,6,1,0,47,0
5822,4,8,1,6,4,1,319,1008,"[314,1004,323,1018]",533.41,-958.41,0.04477,44.202,1122,0.0866243,943.111,99,883.612,1.11736,6,59,1,0,47,0
5826,4,8,5,42,4,1,129,531,"[123,527,134,537]",505.31,-887.71,0.0377510259172,34.6125,1084,0.102606484425,882.25,80,586.632119356,1.56292584355,2,2,1,120,3,36
5829,4,8,6,38,4,1,1236,2101,"[1231,2093,1241,2107]",668.99,-1119.58,0.0464621615416,32.5226833977,778,0.0764743278112,667.459459459,112,582.410358807,1.20187103865,9,4,1,64,1,38
5830,4,8,1,64,4,1,409,404,"[403,398,417,409]",546.9,-868.81,0.0868484438236,58.3515468059,807,0.136198592071,613.526315789,131,500.116334346,1.34344314803,1,1,1,39,1,34
5832,4,8,2,43,3,1,893,435,"[888,431,899,441]",618.37,-227.7,0.0412272197702,38.9393574297,1117,0.104537139278,905.566666667,83,788.598142241,1.19770257309,1,1,1,123,4,35
5833,4,8,6,57,5,1,1572,918,"[1567,913,1577,925]",-250.02,-945.06,0.0558959333298,43.3741374137,876,0.0891417376234,732.606060606,101,556.757819442,1.39374818085,5,24,1,124,5,44
5836,4,8,2,1,3,3,1321,1471,"[1318,1467,1325,1476]",681.63,-380.84,0.0251921,22.3162,939,0.0418725,863.524,50,681.673,1.29951,2,54,1,0,47,0
5853,4,8,2,41,3,1,895,546,"[890,539,900,551]",618.5,-243.91,0.0671120311925,55.04375,929,0.0967259562411,765.133333333,96,673.344827586,1.21806398406,1,1,1,68,1,32
